DT_DEBUT_MOIS,ID_REGN_ADMIN,CD_PLAGE_PRIX,CD_NATR_ACTE_JURDQ,NB_REQST
2020-04-01,"11","1","001",107
2020-04-01,"11","2","001",4
2020-04-01,"11","3","001",2
2020-04-01,"12","1","001",456
2020-04-01,"12","2","001",142
2020-04-01,"12","3","001",23
2020-04-01,"13","1","001",122
2020-04-01,"13","2","001",359
2020-04-01,"13","3","001",112
2020-04-01,"14","1","001",558
2020-04-01,"14","2","001",399
2020-04-01,"14","3","001",44
2020-04-01,"15","1","001",756
2020-04-01,"15","2","001",725
2020-04-01,"15","3","001",141
2020-04-01,"16","1","001",1263
2020-04-01,"16","2","001",1457
2020-04-01,"16","3","001",391
2020-04-01,"17","1","001",350
2020-04-01,"17","2","001",62
2020-04-01,"17","3","001",15
2020-05-01,"01","1","001",439
2020-05-01,"01","2","001",62
2020-05-01,"01","3","001",11
2020-05-01,"02","1","001",529
2020-05-01,"02","2","001",95
2020-05-01,"02","3","001",10
2020-05-01,"03","1","001",972
2020-05-01,"03","2","001",799
2020-05-01,"03","3","001",121
2020-05-01,"04","1","001",572
2020-05-01,"04","2","001",64
2020-05-01,"04","3","001",15
2020-05-01,"05","1","001",653
2020-05-01,"05","2","001",198
2020-05-01,"05","3","001",56
2020-05-01,"06","1","001",364
2020-05-01,"06","2","001",1033
2020-05-01,"06","3","001",904
2020-05-01,"07","1","001",503
2020-05-01,"07","2","001",345
2020-05-01,"07","3","001",53
2020-05-01,"08","1","001",195
2020-05-01,"08","2","001",73
2020-05-01,"08","3","001",6
2020-05-01,"09","1","001",107
2020-05-01,"09","2","001",13
2020-05-01,"09","3","001",1
2020-05-01,"11","1","001",163
2020-05-01,"11","2","001",11
2020-05-01,"12","1","001",916
2020-05-01,"12","2","001",283
2020-05-01,"12","3","001",25
2020-05-01,"13","1","001",180
2020-05-01,"13","2","001",410
2020-05-01,"13","3","001",122
2020-05-01,"14","1","001",826
2020-05-01,"14","2","001",593
2020-05-01,"14","3","001",66
2020-05-01,"15","1","001",988
2020-05-01,"15","2","001",955
2020-05-01,"15","3","001",181
2020-05-01,"16","1","001",1742
2020-05-01,"16","2","001",1834
2020-05-01,"16","3","001",473
2020-05-01,"17","1","001",523
2020-05-01,"17","2","001",87
2020-05-01,"17","3","001",29
2020-06-01,"01","1","001",713
2020-06-01,"01","2","001",62
2020-06-01,"01","3","001",8
2020-06-01,"02","1","001",912
2020-06-01,"02","2","001",118
2020-06-01,"02","3","001",12
2020-06-01,"03","1","001",1728
2020-06-01,"03","2","001",1455
2020-06-01,"03","3","001",134
2020-06-01,"04","1","001",868
2020-06-01,"04","2","001",106
2020-06-01,"04","3","001",18
2020-06-01,"05","1","001",1045
2020-06-01,"05","2","001",292
2020-06-01,"05","3","001",62
2020-06-01,"06","1","001",463
2020-06-01,"06","2","001",1520
2020-06-01,"06","3","001",1172
2020-06-01,"07","1","001",707
2020-06-01,"07","2","001",533
2020-06-01,"07","3","001",95
2020-06-01,"08","1","001",370
2020-06-01,"08","2","001",101
2020-06-01,"08","3","001",9
2020-06-01,"09","1","001",143
2020-06-01,"09","2","001",18
2020-06-01,"09","3","001",1
2020-06-01,"11","1","001",256
2020-06-01,"11","2","001",15
2020-06-01,"11","3","001",3
2020-06-01,"12","1","001",1341
2020-06-01,"12","2","001",445
2020-06-01,"12","3","001",39
2020-06-01,"13","1","001",212
2020-06-01,"13","2","001",634
2020-06-01,"13","3","001",187
2020-06-01,"14","1","001",1216
2020-06-01,"14","2","001",919
2020-06-01,"14","3","001",88
2020-06-01,"15","1","001",1560
2020-06-01,"15","2","001",1430
2020-06-01,"15","3","001",280
2020-06-01,"16","1","001",2553
2020-06-01,"16","2","001",3112
2020-06-01,"16","3","001",673
2020-06-01,"17","1","001",747
2020-06-01,"17","2","001",137
2020-06-01,"17","3","001",30
2020-07-01,"01","1","001",590
2020-07-01,"01","2","001",55
2020-07-01,"01","3","001",7
2020-07-01,"02","1","001",758
2020-07-01,"02","2","001",139
2020-07-01,"02","3","001",14
2020-07-01,"03","1","001",1059
2020-07-01,"03","2","001",756
2020-07-01,"03","3","001",114
2020-07-01,"04","1","001",739
2020-07-01,"04","2","001",123
2020-07-01,"04","3","001",21
2020-07-01,"05","1","001",802
2020-07-01,"05","2","001",286
2020-07-01,"05","3","001",85
2020-07-01,"06","1","001",412
2020-07-01,"06","2","001",1286
2020-07-01,"06","3","001",1111
2020-07-01,"07","1","001",868
2020-07-01,"07","2","001",660
2020-07-01,"07","3","001",119
2020-07-01,"08","1","001",339
2020-07-01,"08","2","001",124
2020-07-01,"08","3","001",9
2020-07-01,"09","1","001",168
