DT_DEBUT_MOIS,ID_REGN_ADMIN,CD_NATR_ACTE_JURDQ,NB_REQST
2022-06-01,"02","004",1350
2022-06-01,"03","004",3592
2022-06-01,"04","004",1205
2022-06-01,"05","004",1454
2022-06-01,"06","004",5442
2022-06-01,"07","004",1937
2022-06-01,"08","004",592
2022-06-01,"09","004",268
2022-06-01,"11","004",288
2022-06-01,"12","004",1956
2022-06-01,"13","004",1565
2022-06-01,"14","004",2553
2022-06-01,"15","004",3913
2022-06-01,"16","004",7833
2022-06-01,"17","004",1107
2022-07-01,"01","004",509
2022-07-01,"02","004",851
2022-07-01,"03","004",2270
2022-07-01,"04","004",733
2022-07-01,"05","004",988
2022-07-01,"06","004",3953
2022-07-01,"07","004",1695
2022-07-01,"08","004",495
2022-07-01,"09","004",196
2022-07-01,"11","004",235
2022-07-01,"12","004",1298
2022-07-01,"13","004",1101
2022-07-01,"14","004",1887
2022-07-01,"15","004",2823
2022-07-01,"16","004",5362
2022-07-01,"17","004",723
2022-08-01,"01","004",372
2022-08-01,"02","004",742
2022-08-01,"03","004",1627
2022-08-01,"04","004",723
2022-08-01,"05","004",864
2022-08-01,"06","004",3194
2022-08-01,"07","004",1547
2022-08-01,"08","004",417
2022-08-01,"09","004",182
2022-08-01,"11","004",172
2022-08-01,"12","004",905
2022-08-01,"13","004",922
2022-08-01,"14","004",1498
2022-08-01,"15","004",2454
2022-08-01,"16","004",4336
2022-08-01,"17","004",596
2022-09-01,"01","004",416
2022-09-01,"02","004",767
2022-09-01,"03","004",1646
2022-09-01,"04","004",642
2022-09-01,"05","004",843
2022-09-01,"06","004",2768
2022-09-01,"07","004",1237
2022-09-01,"08","004",347
2022-09-01,"09","004",183
2022-09-01,"11","004",227
2022-09-01,"12","004",995
2022-09-01,"13","004",820
2022-09-01,"14","004",1467
2022-09-01,"15","004",2390
2022-09-01,"16","004",4037
2022-09-01,"17","004",560
2022-10-01,"01","004",365
2022-10-01,"02","004",624
2022-10-01,"03","004",1487
2022-10-01,"04","004",669
2022-10-01,"05","004",758
2022-10-01,"06","004",2572
2022-10-01,"07","004",1154
2022-10-01,"08","004",277
2022-10-01,"09","004",154
2022-10-01,"11","004",174
2022-10-01,"12","004",912
2022-10-01,"13","004",701
2022-10-01,"14","004",1478
2022-10-01,"15","004",2025
2022-10-01,"16","004",3571
2022-10-01,"17","004",501
2022-11-01,"01","004",403
2022-11-01,"02","004",661
2022-11-01,"03","004",1590
2022-11-01,"04","004",669
2022-11-01,"05","004",769
2022-11-01,"06","004",2848
2022-11-01,"07","004",1125
2022-11-01,"08","004",324
2022-11-01,"09","004",199
2022-11-01,"11","004",183
2022-11-01,"12","004",916
2022-11-01,"13","004",881
2022-11-01,"14","004",1441
2022-11-01,"15","004",2148
2022-11-01,"16","004",3776
2022-11-01,"17","004",564
2022-12-01,"01","004",347
2022-12-01,"02","004",545
2022-12-01,"03","004",1328
2022-12-01,"04","004",531
2022-12-01,"05","004",655
2022-12-01,"06","004",2560
2022-12-01,"07","004",923
2022-12-01,"08","004",229
2022-12-01,"09","004",145
2022-12-01,"11","004",153
2022-12-01,"12","004",838
2022-12-01,"13","004",693
2022-12-01,"14","004",1246
2022-12-01,"15","004",1767
2022-12-01,"16","004",3210
2022-12-01,"17","004",450
2023-01-01,"01","004",221
2023-01-01,"02","004",388
2023-01-01,"03","004",998
2023-01-01,"04","004",406
2023-01-01,"05","004",475
2023-01-01,"06","004",1954
2023-01-01,"07","004",769
2023-01-01,"08","004",209
2023-01-01,"09","004",89
2023-01-01,"11","004",100
2023-01-01,"12","004",545
2023-01-01,"13","004",547
2023-01-01,"14","004",884
2023-01-01,"15","004",1301
2023-01-01,"16","004",2388
2023-01-01,"17","004",350
2023-02-01,"01","004",220
2023-02-01,"02","004",421
2023-02-01,"03","004",954
2023-02-01,"04","004",428
2023-02-01,"05","004",514
2023-02-01,"06","004",2088
2023-02-01,"07","004",762
2023-02-01,"08","004",185
2023-02-01,"09","004",96
2023-02-01,"11","004",106
2023-02-01,"12","004",564
2023-02-01,"13","004",515
2023-02-01,"14","004",926
2023-02-01,"15","004",1253
2023-02-01,"16","004",2402
2023-02-01,"17","004",375
2023-03-01,"01","004",294
2023-03-01,"02","004",543
2023-03-01,"03","004",1305
2023-03-01,"04","004",526
2023-03-01,"05","004",614
2023-03-01,"06","004",2489
2023-03-01,"07","004",884
2023-03-01,"08","004",233
2023-03-01,"09","004",122
2023-03-01,"11","004",130
2023-03-01,"12","004",744
2023-03-01,"13","004",713
2023-03-01,"14","004",1182
2023-03-01,"15","004",1806
2023-03-01,"16","004",3245
2023-03-01,"17","004",472
2023-04-01,"01","004",310
2023-04-01,"02","004",554
2023-04-01,"03","004",1407
2023-04-01,"04","004",528
2023-04-01,"05","004",627
2023-04-01,"06","004",2483
2023-04-01,"07","004",862
2023-04-01,"08","004",273
2023-04-01,"09","004",145
2023-04-01,"11","004",137
2023-04-01,"12","004",818
2023-04-01,"13","004",729
2023-04-01,"14","004",1181
2023-04-01,"15","004",1684
2023-04-01,"16","004",3154
2023-04-01,"17","004",443
2023-05-01,"01","004",477
2023-05-01,"02","004",852
2023-05-01,"03","004",2283
2023-05-01,"04","004",733
2023-05-01,"05","004",960
2023-05-01,"06","004",3584
2023-05-01,"07","004",1210
2023-05-01,"08","004",389
2023-05-01,"09","004",181
2023-05-01,"11","004",203
2023-05-01,"12","004",1179
2023-05-01,"13","004",1041
2023-05-01,"14","004",1628
2023-05-01,"15","004",2516
2023-05-01,"16","004",4702
2023-05-01,"17","004",676
2023-06-01,"01","004",565
2023-06-01,"02","004",999
2023-06-01,"03","004",2671
2023-06-01,"04","004",916
2023-06-01,"05","004",1013
2023-06-01,"06","004",3847
2023-06-01,"07","004",1371
2023-06-01,"08","004",445
2023-06-01,"09","004",221
2023-06-01,"11","004",190
2023-06-01,"12","004",1434
2023-06-01,"13","004",1201
2023-06-01,"14","004",1940
2023-06-01,"15","004",2755
2023-06-01,"16","004",5531
2023-06-01,"17","004",797
2023-07-01,"01","004",471
2023-07-01,"02","004",807
2023-07-01,"03","004",2000
2023-07-01,"04","004",721
2023-07-01,"05","004",853
2023-07-01,"06","004",3458
2023-07-01,"07","004",1506
2023-07-01,"08","004",446
2023-07-01,"09","004",179
2023-07-01,"11","004",211
2023-07-01,"12","004",1117
2023-07-01,"13","004",1000
2023-07-01,"14","004",1558
2023-07-01,"15","004",2403
2023-07-01,"16","004",4562
2023-07-01,"17","004",626
2023-08-01,"01","004",374
2023-08-01,"02","004",663
2023-08-01,"03","004",1617
2023-08-01,"04","004",653
2023-08-01,"05","004",788
2023-08-01,"06","004",3052
2023-08-01,"07","004",1275
2023-08-01,"08","004",345
2023-08-01,"09","004",162
2023-08-01,"11","004",139
2023-08-01,"12","004",935
2023-08-01,"13","004",832
2023-08-01,"14","004",1305
2023-08-01,"15","004",2054
2023-08-01,"16","004",3978
2023-08-01,"17","004",594
2023-09-01,"01","004",390
2023-09-01,"02","004",598
2023-09-01,"03","004",1528
2023-09-01,"04","004",620
2023-09-01,"05","004",670
2023-09-01,"06","004",2639
2023-09-01,"07","004",1065
2023-09-01,"08","004",280
2023-09-01,"09","004",173
2023-09-01,"11","004",178
2023-09-01,"12","004",855
2023-09-01,"13","004",718
2023-09-01,"14","004",1231
2023-09-01,"15","004",1831
2023-09-01,"16","004",3406
2023-09-01,"17","004",515
2023-10-01,"01","004",407
2023-10-01,"02","004",608
2023-10-01,"03","004",1562
2023-10-01,"04","004",540
2023-10-01,"05","004",718
2023-10-01,"06","004",2619
2023-10-01,"07","004",1068
2023-10-01,"08","004",277
2023-10-01,"09","004",145
2023-10-01,"11","004",141
2023-10-01,"12","004",922
2023-10-01,"13","004",677
2023-10-01,"14","004",1203
2023-10-01,"15","004",1793
2023-10-01,"16","004",3327
2023-10-01,"17","004",534
2023-11-01,"01","004",317
2023-11-01,"02","004",685
2023-11-01,"03","004",1515
2023-11-01,"04","004",647
2023-11-01,"05","004",663
2023-11-01,"06","004",2798
2023-11-01,"07","004",1051
2023-11-01,"08","004",270
2023-11-01,"09","004",107
2023-11-01,"11","004",167
2023-11-01,"12","004",872
2023-11-01,"13","004",760
2023-11-01,"14","004",1249
2023-11-01,"15","004",1941
2023-11-01,"16","004",3391
2023-11-01,"17","004",517
2023-12-01,"01","004",305
2023-12-01,"02","004",472
2023-12-01,"03","004",1158
2023-12-01,"04","004",506
2023-12-01,"05","004",651
2023-12-01,"06","004",2470
2023-12-01,"07","004",836
2023-12-01,"08","004",214
2023-12-01,"09","004",136
2023-12-01,"11","004",141
2023-12-01,"12","004",670
2023-12-01,"13","004",614
2023-12-01,"14","004",992
2023-12-01,"15","004",1595
2023-12-01,"16","004",2871
2023-12-01,"17","004",490
2024-01-01,"01","004",248
2024-01-01,"02","004",370
2024-01-01,"03","004",973
2024-01-01,"04","004",417
2024-01-01,"05","004",495
2024-01-01,"06","004",1994
2024-01-01,"07","004",701
2024-01-01,"08","004",168
2024-01-01,"09","004",92
2024-01-01,"11","004",106
2024-01-01,"12","004",561
2024-01-01,"13","004",504
2024-01-01,"14","004",799
2024-01-01,"15","004",1266
2024-01-01,"16","004",2429
2024-01-01,"17","004",362
2024-02-01,"01","004",248
2024-02-01,"02","004",445
2024-02-01,"03","004",1174
2024-02-01,"04","004",507
2024-02-01,"05","004",590
2024-02-01,"06","004",2218
2024-02-01,"07","004",739
2024-02-01,"08","004",234
2024-02-01,"09","004",97
2024-02-01,"11","004",111
2024-02-01,"12","004",708
2024-02-01,"13","004",602
2024-02-01,"14","004",984
2024-02-01,"15","004",1450
2024-02-01,"16","004",2594
2024-02-01,"17","004",425
2024-03-01,"01","004",227
2024-03-01,"02","004",504
2024-03-01,"03","004",1256
2024-03-01,"04","004",537
2024-03-01,"05","004",627
2024-03-01,"06","004",2337
2024-03-01,"07","004",838
2024-03-01,"08","004",201
2024-03-01,"09","004",113
2024-03-01,"11","004",103
2024-03-01,"12","004",729
2024-03-01,"13","004",649
2024-03-01,"14","004",1011
2024-03-01,"15","004",1594
2024-03-01,"16","004",2945
2024-03-01,"17","004",405
2024-04-01,"01","004",365
2024-04-01,"02","004",687
2024-04-01,"03","004",1729
2024-04-01,"04","004",683
2024-04-01,"05","004",816
2024-04-01,"06","004",3131
2024-04-01,"07","004",1085
2024-04-01,"08","004",290
2024-04-01,"09","004",132
2024-04-01,"11","004",156
2024-04-01,"12","004",955
2024-04-01,"13","004",874
2024-04-01,"14","004",1393
2024-04-01,"15","004",2182
2024-04-01,"16","004",3975
2024-04-01,"17","004",603
2024-05-01,"01","004",467
2024-05-01,"02","004",842
2024-05-01,"03","004",2459
2024-05-01,"04","004",790
2024-05-01,"05","004",1069
2024-05-01,"06","004",3897
2024-05-01,"07","004",1378
2024-05-01,"08","004",384
2024-05-01,"09","004",190
2024-05-01,"11","004",223
2024-05-01,"12","004",1353
2024-05-01,"13","004",1110
2024-05-01,"14","004",1904
2024-05-01,"15","004",2711
2024-05-01,"16","004",5344
2024-05-01,"17","004",754
2024-06-01,"01","004",541
2024-06-01,"02","004",1001
2024-06-01,"03","004",2798
2024-06-01,"04","004",865
2024-06-01,"05","004",1174
2024-06-01,"06","004",4329
2024-06-01,"07","004",1430
2024-06-01,"08","004",435
2024-06-01,"09","004",162
2024-06-01,"11","004",180
2024-06-01,"12","004",1617
2024-06-01,"13","004",1123
2024-06-01,"14","004",1989
2024-06-01,"15","004",2934
2024-06-01,"16","004",5919
2024-06-01,"17","004",866
2024-07-01,"01","004",508
2024-07-01,"02","004",814
2024-07-01,"03","004",2150
2024-07-01,"04","004",721
2024-07-01,"05","004",888
2024-07-01,"06","004",3526
2024-07-01,"07","004",1406
2024-07-01,"08","004",359
2024-07-01,"09","004",198
2024-07-01,"11","004",190
2024-07-01,"12","004",1175
2024-07-01,"13","004",1055
2024-07-01,"14","004",1684
2024-07-01,"15","004",2419
2024-07-01,"16","004",4782
2024-07-01,"17","004",648
2024-08-01,"01","004",371
2024-08-01,"02","004",674
2024-08-01,"03","004",1548
2024-08-01,"04","004",653
2024-08-01,"05","004",743
2024-08-01,"06","004",3081
2024-08-01,"07","004",1236
2024-08-01,"08","004",336
2024-08-01,"09","004",139
2024-08-01,"11","004",176
2024-08-01,"12","004",961
2024-08-01,"13","004",796
2024-08-01,"14","004",1292
2024-08-01,"15","004",1966
2024-08-01,"16","004",3979
2024-08-01,"17","004",582
2024-09-01,"01","004",429
2024-09-01,"02","004",727
2024-09-01,"03","004",1496
2024-09-01,"04","004",642
2024-09-01,"05","004",759
2024-09-01,"06","004",2804
2024-09-01,"07","004",1202
2024-09-01,"08","004",325
2024-09-01,"09","004",200
2024-09-01,"11","004",179
2024-09-01,"12","004",969
2024-09-01,"13","004",788
2024-09-01,"14","004",1316
2024-09-01,"15","004",1968
2024-09-01,"16","004",3613
2024-09-01,"17","004",534
2024-10-01,"01","004",421
2024-10-01,"02","004",785
2024-10-01,"03","004",1795
2024-10-01,"04","004",771
